variable,type,n_blind,agree_blind,kappa_blind,n_anchored,agree_anchored,kappa_anchored,kappa_drop,agree_drop
Normative,binary,181,0.9613259668508287,0,99,1,1,1,0.03867403314917128
Language,multiclass,182,0.9945054945054945,0,99,0.98989898989899,0.6632653061224505,0.6632653061224505,-0.00460650460650458
Protagonist,binary,176,0.5625,0.1798595981602518,96,0.84375,0.6825396825396826,0.5026800843794308,0.28125
Moral,binary,182,0.9175824175824175,0.4823663253697378,99,0.98989898989899,0.9692451071761418,0.486878781806404,0.0723165723165724
Story_Structure,multiclass,183,0.6775956284153005,0.4995596755504055,99,0.9595959595959596,0.938964241676942,0.43940456612653656,0.28200033118065904
Economic,binary,181,0.850828729281768,0.4711611297478629,99,0.9696969696969696,0.8790224032586559,0.407861273510793,0.11886824041520161
Efficacy,binary,184,0.7934782608695652,0.5924932975871312,99,0.98989898989899,0.9792583280955376,0.3867650305084064,0.19642072902942476
Collective_ID,binary,184,0.8369565217391305,0.5940579496984851,99,0.98989898989899,0.9797917942437232,0.38573384454523807,0.15294246815985946
Empathy,binary,182,0.8186813186813187,0.5197505197505198,99,0.9696969696969696,0.8405797101449276,0.3208291903944078,0.15101565101565095
Emotional_Valence,multiclass,183,0.7431693989071039,0.4669352339634336,99,0.9090909090909092,0.7877560743211053,0.32082084035767167,0.1659215101838053
Youth_Style,binary,175,0.96,0.34456928838951256,96,0.96875,0.6504854368932043,0.3059161485036917,0.008750000000000036
Onscreen_Text,binary,174,0.7586206896551724,0.35315985130111527,96,0.8541666666666666,0.6394849785407724,0.2863251272396571,0.09554597701149425
Youth_Addressed,binary,181,0.9668508287292817,0.7678495083368957,99,1,1,0.2321504916631043,0.03314917127071826
Primary_CTA,multiclass,184,0.907608695652174,0.7991008349389853,99,0.98989898989899,0.975,0.17589916506101466,0.082290294246816
Scientific,binary,182,0.9340659340659341,0.8452600255065892,99,0.98989898989899,0.9702970297029704,0.1250370041963812,0.05583305583305587
Primary_Topic,multiclass,183,0.7377049180327869,0.6865431966598866,98,0.8469387755102041,0.8082191780821917,0.12167598142230507,0.1092338574774172
Threat,binary,183,0.9289617486338798,0.7578132953272931,99,0.9595959595959596,0.7785234899328857,0.020710194605592536,0.030634210962079744
Data_Visual,binary,175,0.9828571428571429,0.3944636678200721,96,0.9895833333333334,0,-0.3944636678200721,0.006726190476190497
Interactivity,binary,181,0.994475138121547,0.8543845534995979,99,0.9797979797979798,-0.01020408163265606,-0.8645886351322539,-0.014677158323567197
