variable,kind,n,pairwise_pct,textonly_vs_run1_pct,image_effect_pts
Efficacy,binary,184,92.8,78.8,13.9
Story_Structure,multiclass,184,83.5,70.7,12.9
Emotional_Valence,multiclass,184,88.9,82.6,6.3
Primary_Topic,multiclass,183,87.6,84.7,2.9
Scientific,binary,184,97.5,96.2,1.3
Primary_CTA,multiclass,184,94.6,93.5,1.1
Moral,binary,184,94.2,93.5,0.7
Threat,binary,184,94.6,94,0.5
Collective_ID,binary,184,85.9,85.3,0.5
Normative,binary,184,100,100,0
Language,multiclass,184,100,100,0
Youth_Addressed,binary,184,98.2,98.4,-0.2
Interactivity,binary,184,99.6,100,-0.4
Empathy,binary,184,92,92.4,-0.4
Economic,binary,184,94.6,95.7,-1.1
