round,condition,date,impressions,link_clicks,day_index,ctr
1,Neutral,2026-06-18,9834,68,1,0.006914785438275371
1,Neutral,2026-06-19,10553,51,2,0.004832748981332322
1,Neutral,2026-06-20,10683,57,3,0.0053355798932884025
1,Neutral,2026-06-21,11715,58,4,0.004950917626973965
1,Neutral,2026-06-22,10801,36,5,0.0033330247199333395
1,Neutral,2026-06-23,948,2,6,0.002109704641350211
1,Empathy,2026-06-18,9464,78,1,0.008241758241758242
1,Empathy,2026-06-19,9470,36,2,0.0038014783526927136
1,Empathy,2026-06-20,10132,47,3,0.0046387682589814445
1,Empathy,2026-06-21,11622,63,4,0.0054207537429013936
1,Empathy,2026-06-22,10608,48,5,0.004524886877828055
1,Empathy,2026-06-23,744,2,6,0.002688172043010753
1,Social Norm,2026-06-18,9434,71,1,0.007525969896120415
1,Social Norm,2026-06-19,9904,47,2,0.004745557350565428
1,Social Norm,2026-06-20,10430,57,3,0.005465004793863854
1,Social Norm,2026-06-21,11197,41,4,0.0036616950969009555
1,Social Norm,2026-06-22,10627,56,5,0.005269596311282582
1,Social Norm,2026-06-23,803,3,6,0.0037359900373599006
1,Narrative,2026-06-18,9616,63,1,0.006551580698835275
1,Narrative,2026-06-19,10265,67,2,0.0065270336093521675
1,Narrative,2026-06-20,10807,70,3,0.006477283242342926
1,Narrative,2026-06-21,11705,64,4,0.005467748825288338
1,Narrative,2026-06-22,10535,52,5,0.004935927859515899
1,Narrative,2026-06-23,871,3,6,0.003444316877152698
2,Neutral,2026-07-02,8324,23,1,0.002763094666025949
2,Neutral,2026-07-03,12522,44,2,0.003513815684395464
2,Neutral,2026-07-04,10592,35,3,0.0033043806646525678
2,Neutral,2026-07-05,11187,40,4,0.003575578796817735
2,Neutral,2026-07-06,9703,28,5,0.002885705451922086
2,Neutral,2026-07-07,880,4,6,0.004545454545454545
2,Empathy,2026-07-02,8281,17,1,0.0020528921627822726
2,Empathy,2026-07-03,13698,40,2,0.0029201343261790044
2,Empathy,2026-07-04,12432,53,3,0.004263191763191763
2,Empathy,2026-07-05,11525,43,4,0.003731019522776573
2,Empathy,2026-07-06,10780,42,5,0.003896103896103896
2,Empathy,2026-07-07,848,4,6,0.0047169811320754715
2,Social Norm,2026-07-02,8118,32,1,0.003941857600394186
2,Social Norm,2026-07-03,12611,52,2,0.004123384346998652
2,Social Norm,2026-07-04,11150,29,3,0.002600896860986547
2,Social Norm,2026-07-05,11995,43,4,0.0035848270112546895
2,Social Norm,2026-07-06,10737,26,5,0.0024215330166713236
2,Social Norm,2026-07-07,939,2,6,0.002129925452609159
2,Narrative,2026-07-02,7860,23,1,0.0029262086513994912
2,Narrative,2026-07-03,12327,44,2,0.00356940050296098
2,Narrative,2026-07-04,11121,46,3,0.004136318676378024
2,Narrative,2026-07-05,10320,41,4,0.0039728682170542635
2,Narrative,2026-07-06,9507,35,5,0.00368149784369412
2,Narrative,2026-07-07,664,2,6,0.0030120481927710845
