round,condition,ad_name,quality_ranking,engagement_ranking,conversion_ranking
1,Neutral,WC_neutral_1,BELOW_AVERAGE_35,AVERAGE,AVERAGE
1,Neutral,WC_neutral_2,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35
1,Neutral,WC_neutral_3,BELOW_AVERAGE_35,AVERAGE,AVERAGE
1,Empathy,WC_empathy_1,BELOW_AVERAGE_35,AVERAGE,AVERAGE
1,Empathy,WC_empathy_2,BELOW_AVERAGE_35,AVERAGE,AVERAGE
1,Empathy,WC_empathy_3,BELOW_AVERAGE_35,AVERAGE,AVERAGE
1,Social Norm,WC_socialnorm_1,BELOW_AVERAGE_35,AVERAGE,AVERAGE
1,Social Norm,WC_socialnorm_2,BELOW_AVERAGE_35,AVERAGE,AVERAGE
1,Social Norm,WC_socialnorm_3,BELOW_AVERAGE_35,AVERAGE,AVERAGE
1,Narrative,WC_narrative_1,BELOW_AVERAGE_35,AVERAGE,AVERAGE
1,Narrative,WC_narrative_2,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35
1,Narrative,WC_narrative_3,BELOW_AVERAGE_35,AVERAGE,AVERAGE
2,Neutral,WC_neutral_1,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35
2,Neutral,WC_neutral_2,AVERAGE,AVERAGE,BELOW_AVERAGE_35
2,Neutral,WC_neutral_3,AVERAGE,AVERAGE,BELOW_AVERAGE_35
2,Empathy,WC_empathy_1,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35
2,Empathy,WC_empathy_2,AVERAGE,AVERAGE,BELOW_AVERAGE_35
2,Empathy,WC_empathy_3,AVERAGE,BELOW_AVERAGE_35,BELOW_AVERAGE_35
2,Social Norm,WC_socialnorm_1,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35
2,Social Norm,WC_socialnorm_2,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35
2,Social Norm,WC_socialnorm_3,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35
2,Narrative,WC_narrative_1,BELOW_AVERAGE_35,AVERAGE,BELOW_AVERAGE_35
2,Narrative,WC_narrative_2,AVERAGE,AVERAGE,BELOW_AVERAGE_35
2,Narrative,WC_narrative_3,AVERAGE,AVERAGE,BELOW_AVERAGE_35
