condition,variant,hook_rate,hold_rate,link_ctr
Neutral,1,0.24906872920635822,0.2523119077520265,0.004919384650382461
Neutral,2,0.15676637798204135,0.32807998644297576,0.0031613623080601456
Neutral,3,0.1694201861130995,0.3699509886766943,0.004409448818897638
Empathy,1,0.24928148278491408,0.26,0.005132265822042349
Empathy,2,0.15350808350337466,0.30879345603271985,0.003479307277769058
Empathy,3,0.16617919338825235,0.361860164702083,0.004400676201465103
Social Norm,1,0.2433541775708658,0.2656780620330541,0.004627971681220903
Social Norm,2,0.17288135593220338,0.3370915032679739,0.003559322033898305
Social Norm,3,0.15957711099456207,0.3682753848815084,0.004554613961962072
Narrative,1,0.24837363446667485,0.2719298245614035,0.005830367006259973
Narrative,2,0.15684015965283543,0.33697694278394535,0.004393131713589242
Narrative,3,0.1593024559829539,0.37117212249208026,0.004373668274083212
