region,impressions,link_clicks,imp_share,ctr
Khomas Region,231546,1153,0.537,0.005
Erongo Region,58215,221,0.135,0.0038
Oshana Region,35554,126,0.083,0.0035
Otjozondjupa Region,25262,88,0.059,0.0035
ǁKaras Region,17108,55,0.04,0.0032
Hardap Region,13688,46,0.032,0.0034
Kavango East,12592,56,0.029,0.0044
Oshikoto Region,10438,42,0.024,0.004
Omusati Region,6271,16,0.015,0.0026
Zambezi Region,5819,15,0.014,0.0026
Ohangwena Region,5002,24,0.012,0.0048
Kunene Region,4650,30,0.011,0.0065
Omaheke Region,4438,15,0.01,0.0034
Unknown,306,1,0.001,0.0033
