Post_ID,Actor_Name,Post_Format,BERTopic,m_Primary_Topic,cap_chars,eng_rate,f_Protagonist,f_Onscreen_Text,n_comments_scraped
DWUhj7VjtYE,Ministry of Environment Forestry & Tourism,Video,6,Community,587,0.01602,1.0,1.0,1
DXhn93Tjbxw,Giraffe Conservation Foundation,Image,8,Wildlife,241,0.016584,1.0,0.0,9
DXivehMRBFx,Ongava Game Reserve,Video,2,Wildlife,79,0.006854,1.0,0.0,1
DXtx6MkCJiI,Ministry of Environment Forestry & Tourism,Image,24,Community,251,0.00534,1.0,1.0,0
DWQnsyXjpjb,Save the Rhino Trust Namibia,Image,5,Wildlife,640,0.004269,1.0,0.0,0
DVX-MaIDs-A,Save the Rhino Trust Namibia,Image,5,Wildlife,164,0.003222,1.0,0.0,0
DWrjZFUDvNu,Giraffe Conservation Foundation,Image,8,Wildlife,346,0.009929,1.0,0.0,6
DXMfT__iL4g,Ministry of Environment Forestry & Tourism,Carousel,24,Community,480,0.031478,1.0,0.0,0
DXHih5GiFjt,Ministry of Environment Forestry & Tourism,Image,29,,13,0.009837,,,0
DQ8u1Tdjfxy,Save the Rhino Trust Namibia,Video,-99,Wildlife,0,0.002014,1.0,0.0,0
DQvufAaFCLQ,Save the Rhino Trust Namibia,Video,-99,Wildlife,0,0.003303,1.0,0.0,0
DWHgHlgj4h3,Giraffe Conservation Foundation,Image,8,Wildlife,327,0.008388,0.0,0.0,3
DV1ejcrjD4w,Giraffe Conservation Foundation,Image,8,Wildlife,295,0.017248,1.0,0.0,4
DWZhpaAj9mI,Giraffe Conservation Foundation,Image,8,Wildlife,248,0.00657,1.0,0.0,2
DW3oE3qFjbF,N/a'an ku se Foundation,Carousel,7,Ecotourism,1021,0.020833,1.0,0.0,4
DU_ZzNqDJmc,Giraffe Conservation Foundation,Image,8,Wildlife,301,0.007875,1.0,0.0,8
DVRbYULjY8q,Giraffe Conservation Foundation,Image,8,Wildlife,288,0.007639,1.0,0.0,2
DVjc9hvjaPy,Giraffe Conservation Foundation,Image,8,Wildlife,285,0.009116,1.0,0.0,4
DVa5zYsCm_O,Namibia Youth Chamber of Environment,Image,-1,Wildlife,290,0.012285,0.0,0.0,0
DV4Db60iEI4,N/a'an ku se Foundation,Carousel,7,Community,673,0.005023,0.0,0.0,0
DUbWq9sk2fR,Giraffe Conservation Foundation,Image,8,Wildlife,314,0.007361,1.0,0.0,4
DT3TiZ9DdmI,Giraffe Conservation Foundation,Image,8,Wildlife,214,0.007104,1.0,0.0,1
DTyJ9OpgXzm,Giraffe Conservation Foundation,Image,4,Wildlife,342,0.006099,1.0,1.0,5
DWD7q9hijMg,Namibia Youth Chamber of Environment,Carousel,27,Education,56,0.009214,0.0,0.0,0
DUJVGkOjxSn,Giraffe Conservation Foundation,Image,8,Wildlife,270,0.010293,1.0,0.0,3
DQ87jsuDEw5,Namibia Youth Chamber of Environment,Carousel,27,Education,150,0.016585,0.0,1.0,0
DVyJnZlDMPe,N/a'an ku se Foundation,Video,7,Wildlife,126,0.010686,0.0,0.0,1
DVmCpq8jAER,N/a'an ku se Foundation,Video,7,Wildlife,101,0.015271,,,1
DVrBQE7jEWE,N/a'an ku se Foundation,Video,7,Wildlife,127,0.006843,0.0,0.0,3
DVy5ucnCAYI,N/a'an ku se Foundation,Video,7,Wildlife,553,0.009978,0.0,0.0,3
DVthvBkjAAF,N/a'an ku se Foundation,Video,7,Ecotourism,86,0.010989,0.0,0.0,3
DS-qEVPADma,Giraffe Conservation Foundation,Image,4,Wildlife,250,0.03732,1.0,0.0,9
DTBO21Djf01,Giraffe Conservation Foundation,Image,8,Wildlife,259,0.006869,1.0,0.0,1
DTTQcXSDwcQ,Giraffe Conservation Foundation,Image,8,Wildlife,310,0.010528,1.0,0.0,5
DTlR_2oEp9y,Giraffe Conservation Foundation,Video,8,Wildlife,281,0.017333,1.0,0.0,5
DSdLvtCiO9N,Giraffe Conservation Foundation,Image,8,Wildlife,287,0.00734,1.0,0.0,0
DSLMZorAZyc,Giraffe Conservation Foundation,Image,8,Wildlife,279,0.006655,1.0,0.0,1
DW9CcE-D6SX,Ongava Game Reserve,Video,26,Wildlife,450,0.004218,1.0,0.0,2
DXWQDv-iRp8,Ongava Game Reserve,Video,2,Ecotourism,345,0.008084,0.0,0.0,1
DWgtt_SgXiB,Ongava Game Reserve,Video,2,Wildlife,464,0.002548,1.0,0.0,0
DWWoOTkjmc6,Ongava Game Reserve,Image,2,Wildlife,121,0.004042,0.0,0.0,0
DW0itq8DiiZ,Ongava Game Reserve,Carousel,2,Wildlife,203,0.005624,1.0,0.0,0
DWatI5sjiv8,Ongava Game Reserve,Image,2,Ecotourism,126,0.003076,0.0,0.0,0
DWODCFVDkCp,Ongava Game Reserve,Carousel,2,Ecotourism,90,0.005009,0.0,0.0,0
DWp8LUSDnGz,Ongava Game Reserve,Image,2,Wildlife,232,0.002548,0.0,0.0,0
DRVFd6ziFlp,Giraffe Conservation Foundation,Image,8,Wildlife,275,0.008046,1.0,0.0,0
DVgPtlCDbl3,Ongava Game Reserve,Carousel,2,Ecotourism,231,0.005975,1.0,0.0,0
DVmWaukkpqC,Ongava Game Reserve,Video,2,Ecotourism,246,0.003954,0.0,0.0,0
DVo7FqKjnUw,Ongava Game Reserve,Image,2,Ecotourism,224,0.004306,0.0,0.0,0
DVLlSpkFEpk,Ongava Game Reserve,Video,2,Ecotourism,242,0.009227,1.0,0.0,2
DRnHDGCDVEp,Giraffe Conservation Foundation,Image,8,Wildlife,428,0.01209,1.0,0.0,1
DXhaLKmlu0M,Ongava Game Reserve,Carousel,1,Ecotourism,118,0.007293,0.0,0.0,0
DVDHgPFCJDL,Ongava Game Reserve,Video,2,Ecotourism,224,0.008612,0.0,0.0,0
DV3ClNUjpXi,Ongava Game Reserve,Carousel,1,Ecotourism,281,0.004833,0.0,0.0,0
DU-1O9BCJ5U,Namibia Nature Foundation,Video,10,Research,123,0.009343,1.0,1.0,0
DU-z_9ziHyK,Namibia Nature Foundation,Video,10,Research,63,0.00906,0.0,0.0,0
DUDUlzWDmzd,Ongava Game Reserve,Image,2,Wildlife,176,0.003076,0.0,0.0,0
DUQMkcKCKzR,Ongava Game Reserve,Video,2,Ecotourism,292,0.004921,0.0,0.0,0
DTrtFpEjvQr,Ongava Game Reserve,Image,1,Wildlife,169,0.004042,0.0,0.0,0
DTHj9wWDrOW,Ongava Game Reserve,Image,2,Wildlife,89,0.003779,1.0,0.0,0
DROlo6ODMZ2,WWF Namibia,Image,11,Community,178,0.010893,0.0,1.0,0
DTMth9CDqsA,Ongava Game Reserve,Image,2,?,106,0.002548,,,0
DTc2Yz7FK4g,Ongava Game Reserve,Video,2,Ecotourism,339,0.004657,0.0,0.0,1
DUAvy1HCrdK,Ongava Game Reserve,Video,2,Ecotourism,313,0.006854,1.0,0.0,0
DUYS-aeDTbR,Gobabeb Research & Training Centre,Image,17,Education,285,0.043165,1.0,0.0,0
DUFkxsrAbe6,Gobabeb Research & Training Centre,Image,-1,Community,303,0.040468,1.0,0.0,0
DUxWVHkkQKe,Gobabeb Research & Training Centre,Carousel,19,Wildlife,83,0.026079,1.0,0.0,0
DRysmMAjjkE,Ongava Game Reserve,Image,2,Wildlife,120,0.003779,1.0,0.0,0
DSRmHo9jktf,Ongava Game Reserve,Image,2,Ecotourism,206,0.002812,0.0,0.0,0
DUafvG0Dt8S,Ongava Game Reserve,Image,2,Wildlife,136,0.003251,1.0,0.0,0
DSWvw0ojpo2,Ongava Game Reserve,Carousel,2,Wildlife,77,0.005272,1.0,0.0,1
DUVWG6IDlEW,Ongava Game Reserve,Image,2,Wildlife,171,0.002812,1.0,0.0,0
DSHS8tCjoMU,Ongava Game Reserve,Image,2,Ecotourism,211,0.002109,0.0,0.0,0
DR32LTpDqq9,Ongava Game Reserve,Image,2,Wildlife,348,0.005888,1.0,0.0,0
DSMjgNigije,Ongava Game Reserve,Video,0,Wildlife,410,0.006591,1.0,0.0,2
